Time=445000 | clk=1 | rf_portA=0001000010110101 | rf_portB=0000010110000111 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0001000010110101 | opnY=0000010110000111
Time=450000 | clk=0 | rf_portA=0001000110101000 | rf_portB=0011011001010101 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0001000110101000 | opnY=0011011001010101
Time=455000 | clk=1 | rf_portA=0001000110101000 | rf_portB=0011011001010101 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0001000110101000 | opnY=0011011001010101
Time=460000 | clk=0 | rf_portA=1101011011100111 | rf_portB=1111011111101110 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1101011011100111 | opnY=1111011111101110
Time=465000 | clk=1 | rf_portA=1101011011100111 | rf_portB=1111011111101110 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1101011011100111 | opnY=1111011111101110
Time=470000 | clk=0 | rf_portA=1110100110010000 | rf_portB=1011011001111000 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1110100110010000 | opnY=1011011001111000
Time=475000 | clk=1 | rf_portA=1110100110010000 | rf_portB=1011011001111000 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1110100110010000 | opnY=1011011001111000
Time=480000 | clk=0 | rf_portA=0001111001011011 | rf_portB=0111111100100011 | net_stream=0 | confSig=101 | confLoad=0 * opnX=0001111001011011 | opnY=0111111100100011
Time=485000 | clk=1 | rf_portA=0001111001011011 | rf_portB=0111111100100011 | net_stream=0 | confSig=101 | confLoad=0 * opnX=0001111001011011 | opnY=0111111100100011
Time=490000 | clk=0 | rf_portA=0001011001001001 | rf_portB=1101010001111100 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0001011001001001 | opnY=1101010001111100
Time=495000 | clk=1 | rf_portA=0001011001001001 | rf_portB=1101010001111100 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0001011001001001 | opnY=1101010001111100
Time=500000 | clk=0 | rf_portA=0000011000110111 | rf_portB=0011111010000000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0000011000110111 | opnY=0011111010000000
Time=505000 | clk=1 | rf_portA=0000011000110111 | rf_portB=0011111010000000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0000011000110111 | opnY=0011111010000000
Time=510000 | clk=0 | rf_portA=1011000010010000 | rf_portB=1011001110000111 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1011000010010000 | opnY=1011001110000111
Time=515000 | clk=1 | rf_portA=1011000010010000 | rf_portB=1011001110000111 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1011000010010000 | opnY=1011001110000111
Time=520000 | clk=0 | rf_portA=0001011011101000 | rf_portB=0001010110000010 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0001011011101000 | opnY=0001010110000010
Time=525000 | clk=1 | rf_portA=0001011011101000 | rf_portB=0001010110000010 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0001011011101000 | opnY=0001010110000010
Time=530000 | clk=0 | rf_portA=1110010101111011 | rf_portB=1010000000100011 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1110010101111011 | opnY=1010000000100011
Time=535000 | clk=1 | rf_portA=1110010101111011 | rf_portB=1010000000100011 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1110010101111011 | opnY=1010000000100011
Time=540000 | clk=0 | rf_portA=1111011000111100 | rf_portB=0101101110110011 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1111011000111100 | opnY=0101101110110011
Time=545000 | clk=1 | rf_portA=1111011000111100 | rf_portB=0101101110110011 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1111011000111100 | opnY=0101101110110011
Time=550000 | clk=0 | rf_portA=0010110011000100 | rf_portB=1011111100101001 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0010110011000100 | opnY=1011111100101001
