time=99.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=100.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=101.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=102.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=103.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=104.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=105.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=106.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=107.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=108.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=109.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=110.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.2115 | 
time=111.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=112.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=113.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=114.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=115.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=116.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=117.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=118.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=119.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.9999 | 
time=120.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=121.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=122.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=123.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=124.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=125.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=126.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=127.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=128.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=129.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.9999 | 
time=130.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.566 | 
time=131.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
